,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,neighbourhood_group_n,neighbourhood_n,room_type_n,neighbourhood_group_le,room_type_le
31669,11305249,Manhattan,East Village,40.72499,-73.98867,Entire home/apt,2,41,2.83,1,126,1,19,1,2,0
7159,25762289,Brooklyn,Greenpoint,40.72614,-73.94813,Entire home/apt,3,3,0.06,1,110,0,20,1,1,0
33726,50770601,Manhattan,Gramercy,40.73714,-73.97962,Entire home/apt,1,11,1.51,5,312,1,68,1,2,0
34693,131493626,Manhattan,Murray Hill,40.74828,-73.97917,Entire home/apt,5,5,0.55,1,340,1,5,1,2,0
14641,61088024,Manhattan,Upper East Side,40.77697,-73.95372,Entire home/apt,1,0,,1,0,1,28,1,2,0
16973,77369325,Brooklyn,Williamsburg,40.70844,-73.96176,Entire home/apt,2,0,,1,0,0,12,1,1,0
19082,96186778,Brooklyn,Williamsburg,40.71865,-73.95875,Private room,3,72,2.14,1,56,0,12,0,1,1
16386,21216008,Queens,Jackson Heights,40.74989,-73.87829,Shared room,1,120,3.18,4,340,2,83,2,3,2
29458,166262295,Queens,Long Island City,40.75337,-73.93355,Entire home/apt,2,57,3.57,2,53,2,25,1,3,0
44608,46081317,Queens,Astoria,40.75663,-73.9143,Private room,25,0,,3,199,2,56,0,3,1
3338,374305,Manhattan,Hell's Kitchen,40.76485,-73.98752,Entire home/apt,5,7,0.32,1,314,1,7,1,2,0
40070,232509057,Staten Island,South Beach,40.59164,-74.08197,Private room,1,10,7.14,1,363,3,196,0,4,1
21299,2807776,Brooklyn,Flatbush,40.64918,-73.96657,Private room,2,25,0.95,2,68,0,22,0,1,1
15359,66383919,Manhattan,Harlem,40.80713,-73.9542,Private room,2,46,1.17,2,0,1,2,0,2,1
46268,30509656,Bronx,Port Morris,40.80844,-73.9316,Shared room,1,0,,8,89,4,114,2,0,2
33831,2052361,Brooklyn,Prospect-Lefferts Gardens,40.65501,-73.95948,Entire home/apt,3,2,0.32,3,0,0,24,1,1,0
20373,1395843,Manhattan,Washington Heights,40.84313,-73.93947,Private room,2,3,0.1,1,0,1,30,0,2,1
215,267593,Manhattan,East Village,40.72752,-73.98432,Entire home/apt,1,204,2.04,1,192,1,19,1,2,0
20279,10762834,Queens,East Elmhurst,40.7617,-73.89134,Entire home/apt,2,32,1.03,1,55,2,103,1,3,0
13383,36577517,Queens,Elmhurst,40.74556,-73.88118,Private room,2,1,0.02,2,83,2,81,0,3,1
30635,8335684,Manhattan,Inwood,40.86302,-73.92982,Entire home/apt,1,2,0.13,3,0,1,18,1,2,0
20585,40965944,Manhattan,Midtown,40.75092,-73.98636,Entire home/apt,2,5,0.16,1,0,1,1,1,2,0
45700,8092286,Brooklyn,Gowanus,40.66916,-73.9914,Entire home/apt,2,3,2.09,1,37,0,34,1,1,0
961,1317588,Brooklyn,Sheepshead Bay,40.59721,-73.95149,Entire home/apt,30,3,0.08,1,0,0,73,1,1,0
2314,496164,Brooklyn,Williamsburg,40.70974,-73.93962,Private room,5,73,0.99,2,307,0,12,0,1,1
2427,396433,Manhattan,East Village,40.72499,-73.98127,Private room,3,14,0.24,1,365,1,19,0,2,1
7536,9503725,Queens,Astoria,40.76224,-73.92023,Private room,7,0,,1,0,2,56,0,3,1
3904,12346795,Brooklyn,Crown Heights,40.67019,-73.95541,Private room,1,35,0.54,1,333,0,15,0,1,1
39628,227872371,Queens,Springfield Gardens,40.66292,-73.76711,Entire home/apt,1,40,6.19,2,300,2,152,1,3,0
41217,200380610,Manhattan,Midtown,40.75569,-73.98154,Entire home/apt,30,0,,65,110,1,1,1,2,0
37432,1575480,Manhattan,Upper East Side,40.77081,-73.94944,Entire home/apt,30,1,0.16,1,143,1,28,1,2,0
31787,21764391,Brooklyn,Williamsburg,40.71166,-73.95739,Entire home/apt,3,7,0.62,1,67,0,12,1,1,0
12188,34403316,Manhattan,East Harlem,40.79382,-73.94334,Entire home/apt,1,152,3.43,1,200,1,4,1,2,0
30525,176763105,Queens,Jamaica,40.6743,-73.78471,Private room,1,41,2.76,1,67,2,46,0,3,1
28645,5853457,Brooklyn,Borough Park,40.64061,-73.99631,Private room,1,12,0.81,4,321,0,111,0,1,1
35757,4128972,Manhattan,East Harlem,40.79388,-73.94594,Private room,1,33,3.41,1,26,1,4,0,2,1
19854,2388537,Manhattan,Morningside Heights,40.81676,-73.96069,Private room,3,6,0.19,2,0,1,45,0,2,1
46944,170071460,Bronx,Kingsbridge,40.88531,-73.90008,Private room,3,0,,1,88,4,59,0,0,1
32478,57516611,Manhattan,Upper West Side,40.80109,-73.96523,Private room,2,14,1.06,1,8,1,8,0,2,1
48756,273824202,Manhattan,Murray Hill,40.74404,-73.97239,Entire home/apt,2,0,,1,0,1,5,1,2,0
1655,3955766,Brooklyn,Bedford-Stuyvesant,40.67968,-73.94715,Private room,1,113,1.43,1,0,0,6,0,1,1
10495,16396888,Brooklyn,Williamsburg,40.71062,-73.95274,Entire home/apt,1,3,0.06,1,0,0,12,1,1,0
17347,8338942,Manhattan,Nolita,40.72241,-73.99377,Private room,1,168,4.58,4,147,1,64,0,2,1
11468,2968774,Brooklyn,Crown Heights,40.66838,-73.95624,Shared room,1,1,0.02,2,0,0,15,2,1,2
35043,8197910,Brooklyn,Williamsburg,40.71652,-73.94809,Private room,1,16,1.55,1,85,0,12,0,1,1
20825,51830483,Manhattan,Hell's Kitchen,40.76106,-73.98891,Private room,1,20,0.7,2,151,1,7,0,2,1
35322,137358866,Queens,Sunnyside,40.73703,-73.92179,Private room,30,0,,103,245,2,39,0,3,1
30963,20855056,Queens,Ditmars Steinway,40.77694,-73.90846,Private room,4,5,0.32,1,0,2,49,0,3,1
42785,219517861,Manhattan,Theater District,40.75966,-73.9862,Entire home/apt,29,0,,327,335,1,71,1,2,0
36749,28823649,Manhattan,SoHo,40.72405,-74.00073,Entire home/apt,1,0,,3,89,1,27,1,2,0
11793,8167329,Manhattan,Hell's Kitchen,40.76236,-73.99261,Entire home/apt,1,6,0.14,1,0,1,7,1,2,0
9600,32004384,Manhattan,Upper West Side,40.77976,-73.97837,Private room,7,11,1.16,1,362,1,8,0,2,1
1317,2837527,Manhattan,Upper West Side,40.79785,-73.97202,Entire home/apt,4,4,0.05,1,0,1,8,1,2,0
28818,68112758,Manhattan,East Village,40.72188,-73.97957,Entire home/apt,4,7,0.45,1,0,1,19,1,2,0
36311,196058543,Queens,Forest Hills,40.72133,-73.83928,Private room,2,35,3.85,5,235,2,63,0,3,1
45481,3138868,Manhattan,Morningside Heights,40.80535,-73.96307,Entire home/apt,4,1,0.68,1,9,1,45,1,2,0
28339,131476075,Brooklyn,Bushwick,40.68751,-73.91194,Private room,1,25,1.35,8,177,0,21,0,1,1
36526,182306283,Brooklyn,Williamsburg,40.71193,-73.95122,Entire home/apt,2,40,4.88,1,13,0,12,1,1,0
29534,16275624,Brooklyn,Bedford-Stuyvesant,40.68141,-73.92769,Private room,2,21,1.2,2,28,0,6,0,1,1
20035,86887132,Queens,Jamaica,40.69469,-73.78196,Entire home/apt,2,13,1.71,2,365,2,46,1,3,0
32065,169960804,Manhattan,Upper East Side,40.77277,-73.94965,Entire home/apt,1,7,0.51,1,0,1,28,1,2,0
7952,815619,Brooklyn,East Flatbush,40.64685,-73.95,Entire home/apt,30,1,0.02,1,68,0,54,1,1,0
6328,2119276,Manhattan,Gramercy,40.73346,-73.98216,Entire home/apt,30,7,0.13,39,332,1,68,1,2,0
31224,19001556,Manhattan,East Village,40.72421,-73.98025,Private room,3,6,0.42,2,0,1,19,0,2,1
22277,42093468,Bronx,Mott Haven,40.81387,-73.91553,Private room,5,17,0.65,4,23,4,98,0,0,1
31110,85506502,Manhattan,Nolita,40.72226,-73.99616,Entire home/apt,30,3,0.2,1,0,1,64,1,2,0
11570,13813923,Queens,Long Island City,40.74417,-73.94964,Private room,1,33,2.1,2,293,2,25,0,3,1
11986,2716515,Queens,Astoria,40.7576,-73.9067,Entire home/apt,1,1,0.02,1,0,2,56,1,3,0
5682,9232428,Manhattan,East Village,40.72934,-73.98603,Entire home/apt,1,6,0.1,1,0,1,19,1,2,0
37643,224513581,Brooklyn,Bedford-Stuyvesant,40.67759,-73.9106,Private room,7,2,0.26,2,250,0,6,0,1,1
46542,264593697,Manhattan,East Harlem,40.79798,-73.93972,Entire home/apt,1,0,,1,16,1,4,1,2,0
23185,1890427,Brooklyn,Williamsburg,40.71813,-73.94502,Entire home/apt,2,9,0.36,1,0,0,12,1,1,0
999,242506,Brooklyn,Williamsburg,40.7093,-73.96484,Private room,3,269,3.09,3,158,0,12,0,1,1
2122,5333736,Manhattan,East Village,40.73055,-73.98875,Entire home/apt,4,65,0.85,1,1,1,19,1,2,0
36049,9698896,Manhattan,Midtown,40.74971,-73.98682,Entire home/apt,2,6,0.62,1,0,1,1,1,2,0
48757,11454384,Manhattan,Tribeca,40.71815,-74.01145,Entire home/apt,3,0,,1,37,1,77,1,2,0
17019,12267269,Brooklyn,Prospect Heights,40.67671,-73.96466,Entire home/apt,3,17,0.47,1,11,0,29,1,1,0
31441,184694715,Brooklyn,Williamsburg,40.71692,-73.94132,Entire home/apt,3,25,1.8,1,157,0,12,1,1,0
39703,105221828,Brooklyn,Bedford-Stuyvesant,40.68124,-73.90797,Private room,2,1,0.38,1,0,0,6,0,1,1
36639,22474793,Brooklyn,Kensington,40.64046,-73.97233,Entire home/apt,1,2,1.28,1,95,0,0,1,1,0
27867,120047243,Queens,Elmhurst,40.73688,-73.87644,Private room,15,0,,1,0,2,81,0,3,1
23247,13347167,Manhattan,Upper East Side,40.77299,-73.95745,Entire home/apt,30,3,0.14,29,327,1,28,1,2,0
14786,45595980,Manhattan,Upper East Side,40.76798,-73.96755,Entire home/apt,30,4,0.3,12,57,1,28,1,2,0
4072,13322259,Brooklyn,Boerum Hill,40.68647,-73.98595,Entire home/apt,3,54,0.94,1,188,0,38,1,1,0
21510,12570191,Brooklyn,Williamsburg,40.71262,-73.96251,Entire home/apt,2,38,1.32,1,94,0,12,1,1,0
25422,131826530,Bronx,Riverdale,40.88515,-73.91411,Shared room,2,1,0.04,3,269,4,138,2,0,2
37914,2653479,Manhattan,Upper West Side,40.79821,-73.96058,Private room,2,33,4.88,4,114,1,8,0,2,1
44069,14950774,Brooklyn,Brooklyn Heights,40.69094,-73.99293,Entire home/apt,7,0,,1,98,0,32,1,1,0
10787,8791857,Manhattan,Morningside Heights,40.81067,-73.96377,Entire home/apt,5,29,0.75,1,102,1,45,1,2,0
34960,69476664,Brooklyn,Bay Ridge,40.63895,-74.02599,Entire home/apt,2,24,2.26,1,130,0,90,1,1,0
30202,11540159,Brooklyn,Park Slope,40.67289,-73.98316,Private room,2,0,,2,0,0,16,0,1,1
768,1417757,Brooklyn,Bedford-Stuyvesant,40.68631,-73.93702,Entire home/apt,3,204,2.31,1,80,0,6,1,1,0
785,1469036,Manhattan,Harlem,40.80671,-73.95082,Private room,1,107,2.38,1,304,1,2,0,2,1
47475,181143,Manhattan,Financial District,40.71013,-74.00511,Entire home/apt,4,1,1.0,1,108,1,43,1,2,0
41467,219517861,Manhattan,Financial District,40.70751,-74.01066,Entire home/apt,2,12,3.5,327,302,1,43,1,2,0
17824,3152934,Brooklyn,Bushwick,40.68758,-73.91321,Private room,1,2,0.06,1,0,0,21,0,1,1
48344,272314085,Brooklyn,Bushwick,40.69718,-73.92328,Private room,1,2,2.0,1,55,0,21,0,1,1
17494,24908787,Manhattan,SoHo,40.72541,-74.001,Entire home/apt,30,1,0.03,1,0,1,27,1,2,0
13596,14461742,Brooklyn,Williamsburg,40.71552,-73.93869,Entire home/apt,5,1,0.02,1,0,0,12,1,1,0
21812,105225699,Queens,Flushing,40.76199,-73.79465,Entire home/apt,3,75,3.07,2,174,2,37,1,3,0
43547,19645976,Brooklyn,Williamsburg,40.70891,-73.96342,Private room,3,7,3.56,1,72,0,12,0,1,1
1628,1099464,Manhattan,East Village,40.7296,-73.98479,Entire home/apt,2,1,0.09,1,50,1,19,1,2,0
45543,206758177,Manhattan,Harlem,40.80526,-73.95522,Entire home/apt,1,11,7.5,3,33,1,2,1,2,0
2552,6002245,Queens,Astoria,40.76062,-73.9175,Entire home/apt,70,44,0.61,1,198,2,56,1,3,0
20406,14683530,Manhattan,East Harlem,40.79507,-73.94248,Entire home/apt,5,8,0.26,1,19,1,4,1,2,0
13623,569864,Brooklyn,Prospect Heights,40.68007,-73.97317,Entire home/apt,2,12,0.28,1,0,0,29,1,1,0
10882,2321776,Manhattan,Washington Heights,40.83368,-73.94314,Private room,4,0,,1,0,1,30,0,2,1
39945,10415675,Manhattan,Harlem,40.82171,-73.95346,Private room,5,7,1.09,7,154,1,2,0,2,1
42281,120616904,Brooklyn,Cypress Hills,40.67915,-73.89986,Entire home/apt,2,20,5.56,1,297,0,84,1,1,0
7594,8686625,Manhattan,Upper East Side,40.78301,-73.95085,Entire home/apt,1,166,3.3,1,210,1,28,1,2,0
47390,268276813,Manhattan,Hell's Kitchen,40.7645,-73.99434,Entire home/apt,1,0,,3,362,1,7,1,2,0
9208,20270730,Brooklyn,Williamsburg,40.71558,-73.93926,Entire home/apt,5,4,0.08,1,0,0,12,1,1,0
39837,14819229,Brooklyn,Williamsburg,40.71332,-73.95591,Private room,4,1,0.53,1,47,0,12,0,1,1
47388,268276813,Manhattan,Hell's Kitchen,40.7639,-73.99542,Private room,1,0,,3,362,1,7,0,2,1
26444,4421545,Manhattan,Hell's Kitchen,40.76892,-73.99016,Private room,3,2,0.09,1,0,1,7,0,2,1
29723,21283448,Brooklyn,Prospect-Lefferts Gardens,40.65888,-73.95959,Entire home/apt,4,37,2.18,1,0,0,24,1,1,0
22857,5440952,Manhattan,Upper West Side,40.77244,-73.98204,Shared room,30,0,,1,0,1,8,2,2,2
48630,273354185,Bronx,Castle Hill,40.81727,-73.84588,Private room,2,0,,7,177,4,200,0,0,1
32618,193054505,Bronx,Morrisania,40.82936,-73.90867,Entire home/apt,1,26,3.15,1,175,4,177,1,0,0
77,70091,Queens,Woodside,40.75038,-73.90334,Private room,30,25,0.22,1,324,2,31,0,3,1
818,1470688,Manhattan,Upper West Side,40.77338,-73.98887,Entire home/apt,7,14,0.16,1,205,1,8,1,2,0
41102,104859044,Brooklyn,Crown Heights,40.66566,-73.93698,Private room,2,7,1.4,1,0,0,15,0,1,1
41939,19638146,Manhattan,SoHo,40.72608,-74.00031,Private room,1,17,5.37,3,74,1,27,0,2,1
38223,101080203,Manhattan,Gramercy,40.73652,-73.98618,Entire home/apt,1,1,0.15,1,365,1,68,1,2,0
38782,107434423,Manhattan,West Village,40.73035,-74.00324,Entire home/apt,30,0,,232,280,1,11,1,2,0
23298,920237,Manhattan,Lower East Side,40.71826,-73.98455,Private room,2,42,1.64,1,71,1,23,0,2,1
31723,15940253,Manhattan,Harlem,40.82708,-73.9447,Private room,10,1,0.15,2,0,1,2,0,2,1
6071,3716641,Manhattan,Lower East Side,40.72169,-73.98773,Entire home/apt,30,21,0.38,8,52,1,23,1,2,0
9093,23026033,Manhattan,Greenwich Village,40.73104,-73.99708,Entire home/apt,7,1,0.02,1,0,1,52,1,2,0
4622,4928687,Manhattan,East Village,40.7278,-73.97997,Entire home/apt,1,2,0.05,1,0,1,19,1,2,0
24305,11787834,Manhattan,Greenwich Village,40.72985,-73.99938,Private room,8,25,1.05,1,10,1,52,0,2,1
2536,7111113,Brooklyn,Bedford-Stuyvesant,40.69582,-73.94989,Private room,7,0,,1,0,0,6,0,1,1
33846,53883793,Manhattan,Midtown,40.76085,-73.96627,Entire home/apt,2,2,0.17,1,4,1,1,1,2,0
20581,5659683,Brooklyn,Crown Heights,40.67769,-73.95309,Entire home/apt,3,5,0.17,1,8,0,15,1,1,0
44480,78113383,Brooklyn,Crown Heights,40.67266,-73.92423,Entire home/apt,10,0,,3,258,0,15,1,1,0
14123,12353168,Brooklyn,Williamsburg,40.71716,-73.96456,Entire home/apt,5,20,1.08,1,0,0,12,1,1,0
1995,2597159,Brooklyn,Williamsburg,40.71335,-73.9496,Entire home/apt,4,4,0.42,2,0,0,12,1,1,0
4078,13322169,Manhattan,Morningside Heights,40.81503,-73.96029,Entire home/apt,5,9,0.14,1,0,1,45,1,2,0
40317,57357614,Manhattan,Upper West Side,40.77447,-73.98853,Entire home/apt,2,5,5.0,1,0,1,8,1,2,0
4884,3250450,Queens,Astoria,40.771,-73.92563,Private room,30,8,0.14,18,358,2,56,0,3,1
43629,11902072,Manhattan,East Village,40.73036,-73.98701,Entire home/apt,2,6,2.81,1,27,1,19,1,2,0
33161,12501133,Manhattan,East Village,40.72814,-73.98296,Entire home/apt,3,35,2.82,1,0,1,19,1,2,0
38412,8998154,Brooklyn,Bushwick,40.69347,-73.92448,Entire home/apt,2,12,1.71,2,46,0,21,1,1,0
25048,318899,Staten Island,West Brighton,40.63471,-74.10942,Entire home/apt,1,9,0.45,1,175,3,158,1,4,0
23494,41171451,Manhattan,Harlem,40.82634,-73.95061,Private room,1,18,0.75,1,179,1,2,0,2,1
3299,10179999,Manhattan,Upper West Side,40.77021,-73.98721,Private room,1,157,2.49,1,365,1,8,0,2,1
43319,148317706,Brooklyn,Prospect-Lefferts Gardens,40.66002,-73.94363,Entire home/apt,2,8,7.27,1,30,0,24,1,1,0
35662,46594996,Brooklyn,East Flatbush,40.6332,-73.94267,Entire home/apt,2,8,0.82,1,0,0,54,1,1,0
5441,881214,Bronx,Mott Haven,40.80866,-73.92069,Private room,5,14,0.28,1,0,4,98,0,0,1
41662,30283594,Manhattan,Kips Bay,40.74378,-73.97356,Entire home/apt,29,0,,121,364,1,26,1,2,0
22499,7433941,Brooklyn,Crown Heights,40.6778,-73.96321,Entire home/apt,3,5,0.64,1,0,0,15,1,1,0
40550,1290193,Brooklyn,Bedford-Stuyvesant,40.68617,-73.95927,Private room,4,3,1.76,1,365,0,6,0,1,1
47581,242152267,Brooklyn,Greenpoint,40.7199,-73.95085,Entire home/apt,14,0,,1,21,0,20,1,1,0
1799,4250697,Brooklyn,Williamsburg,40.71986,-73.95925,Entire home/apt,4,1,0.01,1,0,0,12,1,1,0
6525,3570170,Manhattan,Greenwich Village,40.72874,-74.00088,Private room,2,4,0.08,1,0,1,52,0,2,1
8979,10348305,Brooklyn,Flatbush,40.63967,-73.96424,Private room,27,3,0.06,1,17,0,22,0,1,1
27613,158097857,Manhattan,Harlem,40.81425,-73.94187,Entire home/apt,3,5,0.31,1,0,1,2,1,2,0
16588,74879324,Manhattan,Harlem,40.80515,-73.95595,Private room,3,50,1.33,1,36,1,2,0,2,1
40005,227413647,Queens,Jackson Heights,40.74888,-73.87708,Private room,2,29,4.73,1,16,2,83,0,3,1
5903,2822805,Brooklyn,Bedford-Stuyvesant,40.68531,-73.95185,Private room,30,44,0.78,8,99,0,6,0,1,1
28374,33588156,Brooklyn,Williamsburg,40.71671,-73.94069,Private room,7,0,,1,0,0,12,0,1,1
37621,224401490,Brooklyn,Williamsburg,40.71009,-73.95151,Private room,3,2,0.25,1,0,0,12,0,1,1
38681,107434423,Manhattan,Financial District,40.70492,-74.00678,Entire home/apt,30,0,,232,341,1,43,1,2,0
6601,22565253,Brooklyn,Bay Ridge,40.6342,-74.02337,Entire home/apt,5,48,0.87,4,91,0,90,1,1,0
29909,105758386,Brooklyn,Williamsburg,40.70581,-73.93454,Entire home/apt,2,2,0.12,1,0,0,12,1,1,0
40368,222476614,Manhattan,Kips Bay,40.74535,-73.97898,Shared room,2,0,,3,348,1,26,2,2,2
30329,2148510,Manhattan,Chinatown,40.71708,-73.99908,Entire home/apt,29,18,1.13,1,155,1,9,1,2,0
37631,209298687,Brooklyn,Bedford-Stuyvesant,40.68907,-73.95217,Private room,30,13,1.77,4,333,0,6,0,1,1
5876,21641206,Brooklyn,Bedford-Stuyvesant,40.69724,-73.94914,Private room,1,351,6.09,4,0,0,6,0,1,1
9666,38914517,Brooklyn,Flatbush,40.64213,-73.95298,Private room,1,22,0.5,2,89,0,22,0,1,1
31938,79651295,Queens,Jamaica,40.67894,-73.78885,Private room,1,1,0.07,4,177,2,46,0,3,1
39537,230025652,Queens,Queens Village,40.70359,-73.74859,Private room,2,14,2.71,4,6,2,61,0,3,1
32661,2533676,Brooklyn,Fort Greene,40.68543,-73.97622,Private room,4,2,0.16,1,88,0,13,0,1,1
16095,71717596,Queens,Rockaway Beach,40.58977,-73.81324,Entire home/apt,2,50,1.31,1,40,2,62,1,3,0
20601,48071153,Manhattan,East Village,40.72477,-73.9859,Entire home/apt,4,10,0.33,1,26,1,19,1,2,0
11868,47052253,Manhattan,Lower East Side,40.71244,-73.98756,Private room,5,0,,1,0,1,23,0,2,1
19336,98726662,Brooklyn,Sheepshead Bay,40.60985,-73.95927,Private room,3,18,0.54,3,1,0,73,0,1,1
39632,133594005,Staten Island,St. George,40.64762,-74.08682,Entire home/apt,3,3,1.76,1,232,3,41,1,4,0
3604,4630562,Brooklyn,Williamsburg,40.71587,-73.96351,Entire home/apt,2,172,2.99,1,330,0,12,1,1,0
27316,73856823,Brooklyn,Bedford-Stuyvesant,40.69258,-73.94063,Entire home/apt,3,4,0.34,1,0,0,6,1,1,0
4834,17315514,Brooklyn,Sunset Park,40.66201,-73.99719,Private room,10,1,0.03,2,0,0,79,0,1,1
10174,3467798,Manhattan,Harlem,40.80877,-73.94456,Entire home/apt,30,12,0.28,2,194,1,2,1,2,0
42424,168891738,Bronx,Unionport,40.82661,-73.8571,Entire home/apt,2,16,4.32,2,161,4,213,1,0,0
4461,7245581,Manhattan,Chelsea,40.74897,-73.9968,Entire home/apt,75,16,0.3,19,234,1,14,1,2,0
18296,49620552,Queens,Astoria,40.76933,-73.91165,Private room,1,20,0.63,4,252,2,56,0,3,1
3957,12058474,Brooklyn,Fort Greene,40.68825,-73.98038,Entire home/apt,3,5,0.14,1,0,0,13,1,1,0
8074,36119,Brooklyn,Clinton Hill,40.68465,-73.96051,Entire home/apt,14,3,0.08,1,0,0,3,1,1,0
38808,107434423,Manhattan,Chelsea,40.73785,-73.99736,Entire home/apt,30,0,,232,356,1,14,1,2,0
22333,15185649,Brooklyn,Bedford-Stuyvesant,40.68295,-73.92536,Entire home/apt,2,134,4.93,2,238,0,6,1,1,0
46916,1616218,Manhattan,Lower East Side,40.7132,-73.99103,Entire home/apt,3,0,,1,71,1,23,1,2,0
38555,91427536,Brooklyn,Bushwick,40.69684,-73.92241,Entire home/apt,2,1,0.16,2,5,0,21,1,1,0
9525,19195540,Manhattan,Lower East Side,40.71894,-73.99205,Private room,3,86,1.82,3,99,1,23,0,2,1
3775,11599506,Manhattan,Upper West Side,40.78345,-73.97858,Entire home/apt,2,48,0.73,1,0,1,8,1,2,0
45544,94101463,Manhattan,Midtown,40.75316,-73.97099,Entire home/apt,3,15,8.82,1,357,1,1,1,2,0
38495,227520154,Brooklyn,Williamsburg,40.70916,-73.96252,Private room,4,13,1.85,2,280,0,12,0,1,1
16476,6531491,Brooklyn,Greenpoint,40.72217,-73.948,Private room,1,55,1.46,1,0,0,20,0,1,1
10793,6502766,Manhattan,Greenwich Village,40.73637,-73.99746,Entire home/apt,2,16,0.37,1,0,1,52,1,2,0
3582,10928857,Manhattan,Murray Hill,40.74487,-73.97452,Entire home/apt,2,8,0.13,1,0,1,5,1,2,0
3786,11630571,Manhattan,Upper West Side,40.78498,-73.97284,Entire home/apt,1,7,0.14,1,365,1,8,1,2,0
21447,97543375,Brooklyn,Williamsburg,40.71506,-73.94158,Private room,2,3,0.22,2,40,0,12,0,1,1
16156,24165646,Brooklyn,Bushwick,40.68754,-73.91265,Private room,3,33,0.86,1,189,0,21,0,1,1
35002,4233057,Manhattan,East Harlem,40.79709,-73.93586,Private room,3,8,0.85,3,95,1,4,0,2,1
43564,249479517,Bronx,Soundview,40.82864,-73.87609,Private room,2,6,2.28,2,24,4,128,0,0,1
1339,717562,Brooklyn,Williamsburg,40.7197,-73.95741,Entire home/apt,30,6,0.07,1,363,0,12,1,1,0
32745,97042500,Manhattan,Harlem,40.80364,-73.95025,Private room,2,21,1.66,4,136,1,2,0,2,1
31815,27958360,Manhattan,Upper West Side,40.78136,-73.98225,Entire home/apt,2,20,1.47,1,6,1,8,1,2,0
8562,9777215,Manhattan,Harlem,40.81346,-73.94458,Entire home/apt,3,122,2.49,3,199,1,2,1,2,0
11164,15954226,Brooklyn,Bedford-Stuyvesant,40.68222,-73.95284,Entire home/apt,7,2,0.04,1,0,0,6,1,1,0
19046,25237492,Manhattan,Upper East Side,40.76095,-73.96143,Entire home/apt,30,10,0.34,34,277,1,28,1,2,0
8551,34426902,Manhattan,Upper West Side,40.8017,-73.96991,Entire home/apt,15,0,,1,39,1,8,1,2,0
43860,255674126,Manhattan,Upper East Side,40.76458,-73.96759,Entire home/apt,31,9,3.42,1,157,1,28,1,2,0
31869,78823148,Manhattan,Kips Bay,40.74235,-73.97971,Private room,5,1,0.07,1,0,1,26,0,2,1
46411,264950723,Manhattan,Midtown,40.75287,-73.98631,Entire home/apt,4,1,1.0,1,2,1,1,1,2,0
8685,1549512,Brooklyn,Clinton Hill,40.68385,-73.96748,Private room,7,0,,2,0,0,3,0,1,1
20719,73550323,Bronx,Parkchester,40.84012,-73.86521,Private room,1,1,0.03,1,0,4,133,0,0,1
22295,4296251,Manhattan,East Village,40.72308,-73.97988,Private room,2,0,,2,0,1,19,0,2,1
42641,147827717,Manhattan,Upper East Side,40.76329,-73.96119,Private room,4,0,,1,101,1,28,0,2,1
42096,244370442,Manhattan,Theater District,40.76026,-73.98747,Private room,1,4,1.54,7,358,1,71,0,2,1
9460,23387933,Manhattan,Greenwich Village,40.73088,-74.00035,Entire home/apt,1,1,0.02,1,0,1,52,1,2,0
17514,47577415,Brooklyn,Flatlands,40.62971,-73.93336,Private room,1,9,0.26,1,189,0,35,0,1,1
15221,56098700,Manhattan,Midtown,40.76593,-73.9812,Entire home/apt,3,0,,1,0,1,1,1,2,0
27768,33836993,Brooklyn,Bedford-Stuyvesant,40.68884,-73.92949,Private room,7,1,0.05,1,0,0,6,0,1,1
17201,40425220,Manhattan,Battery Park City,40.71617,-74.01468,Private room,1,1,0.03,1,0,1,101,0,2,1
9567,38480809,Brooklyn,Williamsburg,40.71711,-73.94259,Private room,1,0,,1,0,0,12,0,1,1
35993,215884830,Brooklyn,Sunset Park,40.65012,-74.00603,Private room,1,20,2.07,4,162,0,79,0,1,1
27538,28290772,Queens,Astoria,40.76848,-73.90768,Private room,2,42,2.09,2,340,2,56,0,3,1
6939,693815,Manhattan,Chinatown,40.71652,-73.99801,Private room,1,0,,1,0,1,9,0,2,1
2889,8772693,Manhattan,West Village,40.73119,-74.00615,Entire home/apt,3,20,0.29,1,0,1,11,1,2,0
25756,75109,Manhattan,Chinatown,40.71618,-73.99225,Entire home/apt,4,13,0.6,1,68,1,9,1,2,0
38744,107434423,Manhattan,Chelsea,40.73774,-73.99725,Entire home/apt,30,0,,232,337,1,14,1,2,0
5263,19550968,Manhattan,Battery Park City,40.71019,-74.01705,Entire home/apt,60,4,0.07,1,13,1,101,1,2,0
42478,248161322,Brooklyn,Bushwick,40.69977,-73.93966,Shared room,30,0,,14,341,0,21,2,1,2
14815,292522,Brooklyn,Fort Greene,40.69014,-73.97347,Entire home/apt,5,10,0.27,2,21,0,13,1,1,0
32120,43095955,Manhattan,Harlem,40.82675,-73.9463,Private room,2,42,3.51,1,109,1,2,0,2,1
44982,261761196,Manhattan,Midtown,40.76555,-73.98272,Private room,1,0,,8,321,1,1,0,2,1
14300,55425653,Manhattan,NoHo,40.72683,-73.99328,Entire home/apt,3,4,0.59,1,0,1,48,1,2,0
